GeoName,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Michigan,Millions of chained 2012 dollars,406051.6,429936.2,438463.8,425103.2,436802.2,443652.2,448888.3,457137.7,449853.5,446943.2,420974,383140.1,404216.9,414834.4,422691.2,428737.6,434313.2,443831.2,452325.2,457614,466559.4,467107,448455.3,481778,490318.1
Minnesota,Millions of chained 2012 dollars,223654.5,232068.1,247802.6,247599.4,253478.4,264165.9,275560.1,284636.9,284382,286299.2,288420.6,277494.1,287140.1,293783.2,298328.3,305486.4,314091.3,318913.2,324030.3,327483.2,336892.2,340557.1,328489.5,346204.3,350314.5
Mississippi,Millions of chained 2012 dollars,85193.8,87638,88077.5,87309.5,88569.4,92354.7,94482.6,96820.7,99005.8,100211.8,101777.6,98000.6,98601.1,98515.8,100448.4,100331.2,100283.6,100482.4,101255.3,101245.3,100872.7,100982.8,100526.9,104353.5,104535.3
Missouri,Millions of chained 2012 dollars,231693.3,238452,244705.9,243060.4,247437.1,252677.3,259741.4,265735.1,267221.1,267691.2,273436.2,266834.9,270732.9,268533.8,271535.1,274599.3,276080.7,279020.8,279109.2,281253.3,284540.3,290619.5,282754.1,295687.3,300676.3
Montana,Millions of chained 2012 dollars,30342.4,30461.3,31241.1,31532.6,32503.7,33810.5,35528.6,37373.9,38577.6,40438.3,40471.1,39513.4,40793.7,41875.7,42340.9,42968.2,43829.1,45395.7,44436.8,45974.3,46584.1,46886.2,46750.4,48976.2,49752.2
Nebraska,Millions of chained 2012 dollars,72089.6,73625.7,76368.1,78180.9,79179.8,83773.3,85987.1,89309.1,91832.7,93910.8,93840.5,93977.6,97466.1,102587.4,102725.9,104680,107936.8,111401.5,112611.5,114143.9,116792.9,118603.7,118141.5,122136.1,123539.6
Nevada,Millions of chained 2012 dollars,94672.8,101394.7,105635.4,106635.3,110448.6,115275.4,127325.6,137508.8,142967.1,144107.1,139954.2,128241.3,129828.4,130697.9,129312.9,129720.9,130897.4,136347.4,140081.2,145485.5,150448,156959.1,146492.5,159567.3,165455.1
New Hampshire,Millions of chained 2012 dollars,51538.7,53084.5,56779.4,57632.6,59474.6,61892.7,64408.6,65034.4,66628.2,66853.6,65854.1,65023.4,67125.8,67559.1,68498.1,69080.3,70213.7,72042.4,73572.2,73972.7,75433,76819.1,75927.6,82986.3,83004.4
New Jersey,Millions of chained 2012 dollars,433564,447872.1,471426.9,476616.7,484657.1,494703.5,498245.2,507894.7,516681.4,520898.3,534501.4,506850.7,513917.9,507604,517195.9,523725.8,522166.4,529953.7,535055.3,537578.5,550059.5,559648.8,535323.7,566893.2,581704.2
New Mexico,Millions of chained 2012 dollars,66944,70487.9,71652.8,71730.5,73909.6,76767.5,83038.7,84034.4,86058.4,86738.8,86965.2,88069.9,87610.3,87592.9,87925.2,86856.6,88991.2,89701.3,89151.4,88962.9,90933.6,94897.4,92496.3,93625.1,94663.4
New York,Millions of chained 2012 dollars,997251.9,1051338,1092188,1112794,1106151,1110613,1144125,1168891,1199277,1208565,1190081,1230672,1277467,1279527,1328234,1329376,1353410,1373643,1403231,1419112,1458382,1500833,1432507,1514779,1563044
North Carolina,Millions of chained 2012 dollars,326786.2,345457.6,356912.5,359617,364870.4,373987.6,389210.1,409003.9,434209.2,438960.1,450538,431955.3,437836.5,443288.7,445095.3,452056.2,462253.1,475096.6,482968.9,495221.3,501564.9,512834.8,506658.1,541933.8,559510.1
North Dakota,Millions of chained 2012 dollars,23674.9,23770.7,24706,24909.9,26290.8,27870.4,28284.1,29345.2,30590.1,32022.2,34256.4,35244.4,37917.2,42340.8,51832.6,52892.4,57790,56542.4,52974.6,54187.1,55914.2,56385.4,53653.6,53803.6,53125.4
Ohio,Millions of chained 2012 dollars,487532.8,499292.8,509949.2,502967.6,513215.5,519939.4,534064.6,545968.7,545504.1,546729.3,537124.1,511076.5,523979.4,541180.2,545740.1,556210.5,574177.9,578852.4,583946.4,593636,597925.5,613251.4,594143.6,629287,638910
Oklahoma,Millions of chained 2012 dollars,117596,119685.4,124227.6,128891.2,131293.3,133417.2,138096.8,143471.1,152857.7,156219.5,162387,160091.6,160564.2,166327.2,174874.4,177698.9,189360,197071.9,193025.1,194017.2,197453.2,201161.5,192485.5,193230,191388.1
Oregon,Millions of chained 2012 dollars,123994.7,126739.2,137400.6,136166.1,138932.5,144802.8,152001.1,158163.4,166107.2,168975.1,173598.5,165527.2,169234,173831.7,174611,175933.8,181220.6,189946.5,198079.3,205524,214902.5,219588,215743.6,227979.1,234806.2
Pennsylvania,Millions of chained 2012 dollars,509550.8,524960.9,538790.2,547260.9,555055.9,568242.4,584328.3,594855.1,597219.2,617309.9,629807.9,610147.9,627726.3,637114,647925.9,655929.2,669643.1,682466.1,688359.4,694866.6,704027.8,715060.7,680957.4,710973.1,726035.6
Rhode Island,Millions of chained 2012 dollars,41912.5,43144.9,45178.6,45749.8,47224.5,48571.1,50513.8,51369.7,52899.6,51469.1,50575.2,50004.3,51332.8,51279.6,51583,51910.8,52293.4,52819.1,52902.6,52691.8,52553.3,53411.4,51516.1,54606,55413.3
